issue,date,red1,red2,red3
2013002,2013-01-02(三),00,06,07
2013006,2013-01-06(日),04,05,07
2013008,2013-01-08(二),05,05,06
2013010,2013-01-10(四),02,03,06
2013011,2013-01-11(五),00,02,09
2013012,2013-01-12(六),06,08,08
2013013,2013-01-13(日),02,02,09
2013014,2013-01-14(一),01,04,07
2013015,2013-01-15(二),02,02,08
2013016,2013-01-16(三),00,03,08
2013017,2013-01-17(四),00,03,08
2013018,2013-01-18(五),03,04,07
2013020,2013-01-20(日),02,09,09
2013022,2013-01-22(二),00,02,05
2013026,2013-01-26(六),05,07,08
2013027,2013-01-27(日),00,03,08
2013030,2013-01-30(三),02,03,07
2013033,2013-02-02(六),02,07,07
2013036,2013-02-05(二),05,06,08
2013037,2013-02-06(三),03,04,06
2013038,2013-02-07(四),00,04,06
2013039,2013-02-08(五),03,06,09
2013041,2013-02-17(日),01,05,08
2013042,2013-02-18(一),04,06,09
2013044,2013-02-20(三),01,03,08
2013045,2013-02-21(四),00,03,09
2013050,2013-02-26(二),05,05,06
2013052,2013-02-28(四),05,05,06
2013054,2013-03-02(六),04,07,09
2013055,2013-03-03(日),04,05,06
2013056,2013-03-04(一),01,03,09
2013058,2013-03-06(三),00,02,08
2013060,2013-03-08(五),04,05,09
2013061,2013-03-09(六),05,06,07
2013065,2013-03-13(三),02,03,08
2013067,2013-03-15(五),02,03,08
2013068,2013-03-16(六),00,07,07
2013072,2013-03-20(三),01,03,08
2013074,2013-03-22(五),02,08,08
2013075,2013-03-23(六),01,06,07
2013076,2013-03-24(日),01,04,07
2013077,2013-03-25(一),01,04,08
2013078,2013-03-26(二),00,02,03
2013080,2013-03-28(四),04,06,06
2013081,2013-03-29(五),05,07,08
2013082,2013-03-30(六),02,04,09
2013084,2013-04-01(一),01,02,07
2013089,2013-04-06(六),01,02,09
2013091,2013-04-08(一),01,03,07
2013092,2013-04-09(二),02,03,06
2013096,2013-04-13(六),00,03,09
2013098,2013-04-15(一),05,07,09
2013102,2013-04-19(五),03,05,06
2013104,2013-04-21(日),00,01,04
2013105,2013-04-22(一),04,04,08
2013107,2013-04-24(三),05,08,09
2013111,2013-04-28(日),04,06,06
2013112,2013-04-29(一),06,09,09
2013113,2013-04-30(二),03,06,08
2013119,2013-05-06(一),01,04,05
2013121,2013-05-08(三),00,03,07
2013122,2013-05-09(四),04,05,06
2013124,2013-05-11(六),03,06,09
2013125,2013-05-12(日),00,01,05
2013126,2013-05-13(一),00,01,04
2013127,2013-05-14(二),06,06,07
2013128,2013-05-15(三),04,08,09
2013130,2013-05-17(五),01,09,09
2013131,2013-05-18(六),07,08,09
2013132,2013-05-19(日),01,05,05
2013133,2013-05-20(一),02,03,09
2013134,2013-05-21(二),02,02,08
2013135,2013-05-22(三),00,05,08
2013136,2013-05-23(四),01,02,03
2013137,2013-05-24(五),02,06,07
2013138,2013-05-25(六),05,07,09
2013139,2013-05-26(日),00,07,09
2013140,2013-05-27(一),02,05,09
2013141,2013-05-28(二),02,07,08
2013142,2013-05-29(三),00,03,09
2013143,2013-05-30(四),00,00,06
2013144,2013-05-31(五),00,08,09
2013145,2013-06-01(六),03,08,09
2013146,2013-06-02(日),04,04,06
2013147,2013-06-03(一),03,04,08
2013148,2013-06-04(二),02,05,08
2013149,2013-06-05(三),02,04,05
2013150,2013-06-06(四),03,06,07
2013151,2013-06-07(五),03,04,09
2013152,2013-06-08(六),01,04,09
2013153,2013-06-09(日),02,08,08
2013154,2013-06-10(一),03,04,09
2013155,2013-06-11(二),02,06,09
2013156,2013-06-12(三),05,07,07
2013157,2013-06-13(四),03,03,08
2013158,2013-06-14(五),01,03,06
2013159,2013-06-15(六),00,08,09
2013160,2013-06-16(日),00,01,02
2013161,2013-06-17(一),03,05,07
2013162,2013-06-18(二),02,02,09
2013163,2013-06-19(三),00,01,04
2013164,2013-06-20(四),02,03,07
2013165,2013-06-21(五),00,00,03
2013166,2013-06-22(六),00,02,04
2013167,2013-06-23(日),02,02,04
2013169,2013-06-25(二),03,04,04
2013170,2013-06-26(三),01,02,08
2013171,2013-06-27(四),00,08,09
2013172,2013-06-28(五),00,04,06
2013173,2013-06-29(六),00,05,06
2013174,2013-06-30(日),01,04,07
2013175,2013-07-01(一),01,05,08
2013176,2013-07-02(二),00,03,07
2013177,2013-07-03(三),01,06,09
2013178,2013-07-04(四),02,07,09
2013179,2013-07-05(五),03,06,08
2013180,2013-07-06(六),02,04,06
2013181,2013-07-07(日),02,04,08
2013182,2013-07-08(一),04,04,09
2013183,2013-07-09(二),03,06,09
2013184,2013-07-10(三),04,07,08
2013185,2013-07-11(四),01,06,09
2013186,2013-07-12(五),00,01,07
2013187,2013-07-13(六),01,08,08
2013188,2013-07-14(日),00,00,02
2013189,2013-07-15(一),00,02,06
2013190,2013-07-16(二),01,07,09
2013191,2013-07-17(三),01,03,05
2013192,2013-07-18(四),00,01,07
2013193,2013-07-19(五),03,04,09
2013194,2013-07-20(六),00,06,08
2013195,2013-07-21(日),03,08,09
2013196,2013-07-22(一),00,00,01
2013197,2013-07-23(二),01,01,05
2013198,2013-07-24(三),05,06,06
2013199,2013-07-25(四),01,04,08
2013200,2013-07-26(五),03,05,07
2013201,2013-07-27(六),04,08,09
2013202,2013-07-28(日),00,03,06
2013203,2013-07-29(一),00,00,03
2013204,2013-07-30(二),00,05,06
2013205,2013-07-31(三),07,08,09
2013206,2013-08-01(四),03,04,09
2013207,2013-08-02(五),03,04,07
2013208,2013-08-03(六),00,04,04
2013209,2013-08-04(日),02,08,09
2013210,2013-08-05(一),01,03,09
2013211,2013-08-06(二),04,07,09
2013212,2013-08-07(三),00,02,08
2013213,2013-08-08(四),00,06,06
2013214,2013-08-09(五),02,06,08
2013215,2013-08-10(六),01,05,07
2013216,2013-08-11(日),03,03,08
2013217,2013-08-12(一),05,06,09
2013218,2013-08-13(二),01,01,02
2013219,2013-08-14(三),02,02,03
2013220,2013-08-15(四),00,03,06
2013221,2013-08-16(五),09,09,09
2013222,2013-08-17(六),00,02,06
2013223,2013-08-18(日),01,01,08
2013224,2013-08-19(一),05,07,09
2013225,2013-08-20(二),04,08,08
2013226,2013-08-21(三),00,05,05
2013227,2013-08-22(四),02,04,07
2013228,2013-08-23(五),00,01,04
2013229,2013-08-24(六),00,00,03
2013230,2013-08-25(日),02,06,09
2013231,2013-08-26(一),04,06,08
2013232,2013-08-27(二),01,04,04
2013233,2013-08-28(三),03,06,07
2013234,2013-08-29(四),04,06,08
2013235,2013-08-30(五),02,05,06
2013236,2013-08-31(六),01,04,07
2013237,2013-09-01(日),04,07,08
2013238,2013-09-02(一),01,01,07
2013239,2013-09-03(二),00,01,09
2013240,2013-09-04(三),05,06,09
2013241,2013-09-05(四),01,07,08
2013242,2013-09-06(五),02,05,08
2013243,2013-09-07(六),01,03,06
2013244,2013-09-08(日),03,03,09
2013245,2013-09-09(一),02,04,07
2013246,2013-09-10(二),00,06,09
2013247,2013-09-11(三),05,05,09
2013248,2013-09-12(四),01,01,05
2013249,2013-09-13(五),00,03,07
2013250,2013-09-14(六),00,04,09
2013251,2013-09-15(日),03,05,07
2013252,2013-09-16(一),03,05,07
2013253,2013-09-17(二),03,06,08
2013254,2013-09-18(三),05,06,09
2013255,2013-09-19(四),02,05,09
2013256,2013-09-20(五),05,08,09
2013257,2013-09-21(六),03,08,09
2013258,2013-09-22(日),00,05,05
2013259,2013-09-23(一),01,03,04
2013260,2013-09-24(二),02,06,06
2013261,2013-09-25(三),02,02,07
2013262,2013-09-26(四),03,04,06
2013263,2013-09-27(五),01,06,08
2013264,2013-09-28(六),04,07,08
